id,package_id,national_code,aqf_level,title,tga_status,state_code,nominal_hours,type
1,1,BSB10115,Certificate I in,Business,Current,AVU7,150,Qualification
2,1,BSB20115,Certificate II in,Business,Current,AVU8,325,Qualification
3,1,BSB20215,Certificate II in,Customer Engagement,Current,AVQ9,385,Qualification
4,1,BSB30115,Certificate III in,Business,Current,AVR7,420,Qualification
5,1,BSB30215,Certificate III in,Customer Engagement,Current,AVS6,385,Qualification
6,1,BSB30315,Certificate III in,Micro Business Operations,Current,AVT8,380,Qualification
7,1,BSB30415,Certificate III in,Business Administration,Current,AVS2,420,Qualification
8,1,BSB30515,Certificate III in,Business Administration (International Education),Current,AVR6,485,Qualification
9,1,BSB30615,Certificate III in,International Trade,Current,AVS0,390,Qualification
10,1,BSB30715,Certificate III in,Work Health and Safety,Current,AVV3,305,Qualification
11,1,BSB30815,Certificate III in,Recordkeeping,Current,AVS7,375,Qualification
12,1,BSB30915,Certificate III in,Business Administration (Education),Current,AVV0,400,Qualification
13,1,BSB31015,Certificate III in,Business Administration (Legal),Current,AVQ6,370,Qualification
14,1,BSB31115,Certificate III in,Business Administration (Medical),Current,AVT0,425,Qualification
15,1,BSB31215,Certificate III in,Library and Information Services,Current,AZK2,538,Qualification
16,1,BSB40115,Certificate IV in,Advertising,Replaced,AVQ7,450,Qualification
17,1,BSB40215,Certificate IV in,Business,Current,AVV9,515,Qualification
18,1,BSB40315,Certificate IV in,Customer Engagement,Current,AVW0,585,Qualification
19,1,BSB40415,Certificate IV in,Small Business Management,Replaced,AVU6,420,Qualification
20,1,BSB40515,Certificate IV in,Business Administration,Current,AVS9,530,Qualification
21,1,BSB40615,Certificate IV in,Business Sales,Current,AVS8,410,Qualification
22,1,BSB40715,Certificate IV in,Franchising,Current,AVT4,410,Qualification
23,1,BSB40915,Certificate IV in,Governance,Current,AVR5,420,Qualification
24,1,BSB41015,Certificate IV in,Human Resources,Current,AVT3,415,Qualification
25,1,BSB41115,Certificate IV in,International Trade,Current,AVU1,440,Qualification
26,1,BSB41315,Certificate IV in,Marketing,Replaced,AVS4,440,Qualification
27,1,BSB41415,Certificate IV in,Work Health and Safety,Current,AVW3,470,Qualification
28,1,BSB41515,Certificate IV in,Project Management Practice,Current,AVR2,330,Qualification
29,1,BSB41615,Certificate IV in,Purchasing,Current,AVV7,420,Qualification
30,1,BSB41715,Certificate IV in,Recordkeeping,Current,AVV1,415,Qualification
31,1,BSB41915,Certificate IV in,Business (Governance),Current,AVU3,530,Qualification
32,1,BSB42015,Certificate IV in,Leadership and Management,Current,AVR3,460,Qualification
33,1,BSB42115,Certificate IV in,Library and Information Services,Current,AZK3,712,Qualification
34,1,BSB42215,Certificate IV in,Legal Services,Current,AVR9,620,Qualification
35,1,BSB42315,Certificate IV in,Environmental Management and Sustainability,Current,AZJ9,305,Qualification
36,1,BSB42415,Certificate IV in,Marketing and Communication,Current,AZJ8,495,Qualification
37,1,BSB42515,Certificate IV in,Small Business Management,Current,AZI9,430,Qualification
38,1,BSB42615,Certificate IV in,New Small Business,Current,AZI1,420,Qualification
39,1,BSB50115,Diploma of,Advertising,Replaced,AVU4,500,Qualification
40,1,BSB50215,Diploma of,Business,Current,AVU9,405,Qualification
41,1,BSB50315,Diploma of,Customer Engagement,Current,AVV8,550,Qualification
42,1,BSB50415,Diploma of,Business Administration,Current,AVV5,415,Qualification
43,1,BSB50515,Diploma of,Franchising,Current,AVT2,380,Qualification
44,1,BSB50615,Diploma of,Human Resources Management,Current,AVT7,540,Qualification
