id,national_code,title,tga_status,state_code,nominal_hours
1,BSBMKG402,Analyse consumer behaviour for specific markets,Replaced,AUJ44,50
2,BSBSUS301,Implement and monitor environmentally sustainable work practices,Replaced,AUI33,40
3,BSBADM101,Use business equipment and resources,Current,AUJ55,20
4,BSBADM301,Produce texts from shorthand notes,Current,AUL74,100
5,BSBADM302,Produce texts from notes,Current,AUL71,30
6,BSBADM303,Produce texts from audio transcription,Current,AUJ22,30
7,BSBADM307,Organise schedules,Current,AUL99,20
8,BSBADM311,Maintain business resources,Current,AUJ47,20
9,BSBADM401,Produce complex texts from shorthand notes,Current,AUK37,50
10,BSBADM405,Organise meetings,Current,AUI24,50
11,BSBADM406,Organise business travel,Current,AUK13,20
12,BSBADM407,Administer projects,Current,AUL03,40
13,BSBADM409,Coordinate business resources,Current,AUH10,20
14,BSBADM411,Produce complex texts from audio transcription,Current,AUH78,60
15,BSBADM502,Manage meetings,Current,AUH54,50
16,BSBADM503,Plan and manage conferences,Current,AUH99,60
17,BSBADM504,Plan and implement administrative systems,Current,AUJ75,60
18,BSBADM506,Manage business document design and development,Current,AUI66,50
19,BSBADV402,Conduct pre-campaign testing,Current,AUK57,80
20,BSBADV403,Monitor advertising production,Current,AUH19,80
21,BSBADV404,Schedule advertisements,Current,AUI90,40
22,BSBADV405,Perform media calculations,Current,AUJ33,40
23,BSBADV406,Buy and monitor media,Current,AUJ73,40
24,BSBADV407,Apply media analysis and processing tools,Current,AUK40,50
25,BSBADV408,Review advertising media options,Current,AUK94,40
26,BSBADV503,Coordinate advertising research,Current,AUH68,60
27,BSBADV507,Develop a media plan,Current,AUK39,60
28,BSBADV509,Create mass print media advertisements,Current,AUK31,80
29,BSBADV510,Create mass electronic media advertisements,Current,AUH09,80
30,BSBADV602,Develop an advertising campaign,Current,AUH37,80
31,BSBADV603,Manage advertising production,Current,AUJ96,60
32,BSBADV604,Execute an advertising campaign,Current,AUI38,80
33,BSBADV605,Evaluate campaign effectiveness,Current,AUH80,60
34,BSBATSIC411,Communicate with the community,Current,AUH96,30
35,BSBATSIC412,Maintain and protect cultural values in the organisation,Current,AUJ18,60
36,BSBATSIC511,Plan and conduct a community meeting,Current,AUH79,60
37,BSBATSIL408,Manage a board meeting,Current,AUK91,40
38,BSBATSIL411,Undertake the roles and responsibilities of a board member,Current,AUK97,40
39,BSBATSIL412,Participate effectively as a board member,Current,AUJ09,30
40,BSBATSIL413,Review and apply the constitution,Current,AUM48,40
41,BSBATSIL503,Manage conflict,Current,AUH13,60
42,BSBATSIL510,Appoint and work with a manager,Current,AUL81,30
43,BSBATSIL511,Lead the organisation's strategic planning cycle,Current,AUI67,50
44,BSBATSIL512,Be a leader in the community,Current,AUL93,60
45,BSBATSIM412,Implement a businesslike approach,Current,AUJ54,30
46,BSBATSIM414,Oversee the organisation's annual budget,Current,AUH92,40
47,BSBATSIM416,Oversee organisational planning,Current,AUI92,40
48,BSBATSIM417,Implement organisational plans,Current,AUI83,40
49,BSBATSIM418,Oversee financial management,Current,AUL31,50
50,BSBATSIM419,Contribute to the development and implementation of organisational policies,Current,AUL46,40
51,BSBATSIM420,Oversee asset management,Current,AUH89,40
52,BSBATSIM421,Support a positive and culturally appropriate workplace culture,Current,AUK11,40
53,BSBATSIM505,Control organisational finances,Current,AUL44,100
54,BSBATSIM506,Develop employment policies,Current,AUL30,40
55,BSBATSIM511,Develop enterprise opportunities,Current,AUL10,40
56,BSBATSIM514,Recruit and induct staff,Current,AUJ57,40
57,BSBATSIW416,Obtain and manage consultancy services,Current,AUK68,80
58,BSBATSIW417,Select and use technology,Current,AUH24,50
59,BSBATSIW514,Represent your organisation,Current,AUI58,40
60,BSBATSIW515,Secure funding,Current,Aug-93,40
61,BSBAUD402,Participate in a quality audit,Current,AUI79,35
62,BSBAUD501,Initiate a quality audit,Current,AUM33,40
63,BSBAUD503,Lead a quality audit,Current,AUI01,45
64,BSBAUD504,Report on a quality audit,Current,AUH46,40
65,BSBCMM101,Apply basic communication skills,Current,AUJ84,40
66,BSBCMM201,Communicate in the workplace,Current,AUL22,30
67,BSBCMM301,Process customer complaints,Current,AUK60,20
68,BSBCMM401,Make a presentation,Current,AUI59,30
69,BSBCMM402,Implement effective communication strategies,Current,AUL01,40
70,BSBCMM501,Develop and nurture relationships,Current,AUH69,40
71,BSBCNV501,Take instructions in relation to a transaction,Current,AUH16,80
72,BSBCNV502,Read and interpret a legal document and provide advice,Current,AUJ66,70
73,BSBCNV503,Analyse and interpret legal requirements for a transaction,Current,AUL25,45
